ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S36_020,91,49,91,15.70833333,one,ods,aqu,Al,Arenic,Solution Residuum,PD,23,41879.0529,98.35164835,1.331868132,0.316483517,91.00408163,4.024489795,4.971428571,0.3976,0.38,5.4281,4.253,4.1501,3.6325,0.41925,3.0644,0.3165,26.193,0.19024,0.2829,1.73695,26.4759,0.097318,0.010675,0,0,41,0,0,59,0,0,9,23,0,68,QZ,QZ
S37_002,127,127,127,4.881160758,one,ults,ud,Pale,Aquic,Marine Deposits,SPD,53,2448.865816,82.46377945,14.11732282,3.418897635,73.72992127,9.581889765,16.68818897,0.31832,0.33377,5.1572,5.1701,4.2888,3.7961,0.16949,0.03118,3.4182,4.60408,0.08485,0.21666,2.01477,4.82074,0.053746,0.045204,0,0,46,10,0,45,0,0,33,62,0,6,MIXED,KA
S37_004,20,209,20,4.772509792,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,173,10882.51811,83.95,8.9,7.15,61.78947375,4.087081344,34.12344501,0.47,0.39343,5.5,5.0466,4.35,3.9573,0.88,0.12434,7.15,6.76996,1.325,0.61138,6.135,7.38134,0.2045,0.084768,0,0,34,37,0,29,0,0,28,68,0,4,MIXED,KA
S37_006,76,188,76,4.220827273,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,250,9984.418386,89.19473693,5.085526321,5.719736847,73.42021276,2.437765958,24.14202128,0.40211,0.37853,5.6565,5.1255,4.4473,3.808,0.27287,0.06909,5.7198,7.22434,0.70661,0.77694,3.72576,8.00128,0.171762,0.097203,0,0,54,30,0,17,0,0,25,66,0,9,HV,KA
S37_008,13,190,13,2.328986068,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,12218.69674,74.8,11,13.6,63.47684211,4.823684213,31.67421052,0.46,0.38234,5.3,5.4142,4.4,4.2884,2.48,0.1632,13.6,8.80733,3.61,1.96202,16.21,10.76935,0.223,0.182508,0,0,16,41,0,43,0,0,10,87,0,3,MIXED,KA
S37_010,150,53,150,4.616926951,one,alfs,aqu,Pale,Grossarenic,Decomposition Residuum,PD,18,10206.35049,91.08333333,5.736000001,3.180666667,80.78679246,4.528301887,14.68490566,0.36954,0.3,5.5964,5.3282,4.4165,4.0188,0.22587,0.04188,3.1813,4.2885,0.21355,2.33456,2.62994,6.62306,0.07253,0.34666,6,0,23,21,0,51,0,0,0,5,0,95,QZ,QZ
S37_012,23,180,23,4.815235088,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,157,7973.144011,85.35652174,9.834782609,4.808695652,67.71677853,5.87114094,26.41208053,0.4674,0.3941,5.1912,5.1457,4.1608,3.9899,1.3024,0.17729,4.8084,5.12016,0.3166,0.25045,6.12492,5.37061,0.046616,0.042191,0,0,21,30,0,49,0,0,19,67,0,13,QZ,KA
S37_018,36,15,36,4.682170541,one,ods,aqu,Al,Ultic,Alluvium,SPD,25,8964.252372,92.05833333,6.866666667,1.075,80.8,6.26146789,12.93853211,0.48085,0.4333,4.8915,4.9,3.6332,3.9667,0.34611,0.75333,1.0753,13.06932,0.17506,0.20999,3.07488,13.27931,0.07132,0.016,37,0,11,13,0,39,12,0,40,9,0,39,MIXED,MIXED
S37_025,94,109,94,5.514611086,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,162,16595.85049,88.11063839,5.858510644,6.030851069,62.39633028,4.34587156,33.25779816,0.46889,0.38899,5.59,5.1697,4.4157,4.0449,0.51751,0.17824,6.0256,4.97176,0.78412,0.87805,4.16495,5.84981,0.179833,0.152827,0,0,44,45,0,12,0,0,21,75,0,5,MIXED,KA
S37_026,56,147,56,4.997941316,one,ults,ud,Pale,Aquic,Decomposition Residuum,SPD,56,6482.797504,86.94107143,8.639285714,4.419642857,64.68299321,13.22789115,22.08911564,0.45072,0.38514,4.8285,4.9926,4.032,3.7414,0.63153,0.12948,4.4195,7.25276,0.11025,0.37081,4.40382,7.62357,0.016362,0.047922,9,0,20,18,0,53,18,0,21,50,0,11,QZ,KA
