ID,TOP_DEP,BOTT_DEP,CRITERIA,ZONE,UI,DISCONT,TOT_SAND,navy,olivedrab,yellow,orange,red,,navy,olivedrab,yellow,orange,red
S05_010,0,13,one,loss,0,no,93.1,0.00,3.44,28.14,65.31,3.11,,0,3.2,26.2,60.8,2.9
S05_010,13,23,one,loss,0.31,no,95.9,0.10,3.75,30.03,63.50,2.61,,0.1,3.6,28.8,60.9,2.5
S05_010,23,38,one,loss,0.14,no,96.6,0.21,3.73,30.64,63.04,2.38,,0.2,3.6,29.6,60.9,2.3
S05_010,38,53,one,loss,0.09,no,96.3,0.10,3.84,31.57,61.99,2.49,,0.1,3.7,30.4,59.7,2.4
S05_010,53,71,one,loss,0.10,no,94.5,0.11,4.34,30.48,62.75,2.33,,0.1,4.1,28.8,59.3,2.2
S05_010,71,81,one,top,0.24,no,93.6,0.11,4.27,29.59,63.89,2.14,,0.1,4,27.7,59.8,2
S05_010,81,104,one,other,0.01,no,94.7,0.21,4.22,29.99,63.67,1.90,,0.2,4,28.4,60.3,1.8
S05_010,104,203,one,other,0.22,no,93.4,0.21,4.60,31.16,62.10,1.93,,0.2,4.3,29.1,58,1.8
S05_013,0,5,one,loss,0,no,92.5,0.00,3.35,38.38,53.73,4.54,,0,3.1,35.5,49.7,4.2
S05_013,5,18,one,loss,0.22,no,95.2,0.00,4.41,42.75,48.74,4.10,,0,4.2,40.7,46.4,3.9
S05_013,18,38,one,loss,0.33,no,96.9,0.10,7.33,45.72,43.96,2.89,,0.1,7.1,44.3,42.6,2.8
S05_013,38,71,one,loss,0.34,no,96.2,0.21,7.48,44.49,43.87,3.95,,0.2,7.2,42.8,42.2,3.8
S05_013,71,84,one,loss,0.05,no,94.2,0.11,7.11,41.61,47.77,3.40,,0.1,6.7,39.2,45,3.2
S05_013,84,99,one,top,0.03,no,78.8,0.13,8.63,50.38,37.31,3.55,,0.1,6.8,39.7,29.4,2.8
S05_013,99,140,one,gain,0.22,no,79.2,0.25,10.10,50.13,37.37,2.15,,0.2,8,39.7,29.6,1.7
S05_013,140,216,one,gain,1.19,yes,73.4,0.27,9.95,52.04,34.20,3.54,,0.2,7.3,38.2,25.1,2.6
S05_015,0,5,one,loss,0,no,95,0.00,3.79,33.16,60.53,2.53,,0,3.6,31.5,57.5,2.4
S05_015,5,20,one,loss,0.21,no,96.1,0.00,3.43,26.12,66.18,4.27,,0,3.3,25.1,63.6,4.1
S05_015,20,25,one,loss,0.21,no,96.9,0.10,4.54,27.86,63.88,3.61,,0.1,4.4,27,61.9,3.5
S05_015,25,51,one,loss,0.14,no,97.4,0.10,4.31,26.90,65.30,3.39,,0.1,4.2,26.2,63.6,3.3
S05_015,51,58,one,loss,0.09,no,96.6,0.21,4.55,28.16,63.46,3.62,,0.2,4.4,27.2,61.3,3.5
S05_015,58,130,one,loss,0.17,no,97.4,0.31,5.85,28.54,62.11,3.18,,0.3,5.7,27.8,60.5,3.1
S05_015,130,190,one,top,0.36,no,88.8,0.34,4.73,27.36,63.51,4.05,,0.3,4.2,24.3,56.4,3.6
S05_016,0,5,one,loss,0,no,92.1,0.33,6.73,29.97,59.17,3.80,,0.3,6.2,27.6,54.5,3.5
S05_016,5,20,one,loss,0.20,no,94.2,0.21,7.01,30.04,58.28,4.46,,0.2,6.6,28.3,54.9,4.2
S05_016,20,51,one,loss,0.22,no,97.4,0.31,7.19,28.23,59.86,4.41,,0.3,7,27.5,58.3,4.3
S05_016,51,69,one,top,0.02,no,93.3,0.54,8.79,29.69,57.13,3.86,,0.5,8.2,27.7,53.3,3.6
S05_016,69,102,one,gain,0.13,no,91.3,0.55,8.43,29.35,57.61,4.05,,0.5,7.7,26.8,52.6,3.7
S05_016,102,203,one,gain,0.41,no,94,0.74,10.85,32.23,52.98,3.19,,0.7,10.2,30.3,49.8,3
S05_017,0,15,one,loss,0,no,93.9,0.21,8.84,46.75,41.96,2.24,,0.2,8.3,43.9,39.4,2.1
S05_017,15,23,one,loss,0.41,no,96.2,0.42,12.37,46.36,39.29,1.56,,0.4,11.9,44.6,37.8,1.5
S05_017,23,33,one,loss,0.73,no,96.2,0.42,9.88,43.35,42.93,3.43,,0.4,9.5,41.7,41.3,3.3
S05_017,33,48,one,loss,0.43,no,96.1,0.62,12.28,46.72,38.50,1.87,,0.6,11.8,44.9,37,1.8
S05_017,48,53,one,loss,0.98,yes,92.5,0.54,11.68,45.30,40.00,2.49,,0.5,10.8,41.9,37,2.3
S05_017,53,58,one,loss,0.19,no,92.9,0.43,11.19,45.43,40.80,2.15,,0.4,10.4,42.2,37.9,2
S05_017,58,84,one,loss,0.23,no,93,0.43,10.00,43.66,42.90,3.01,,0.4,9.3,40.6,39.9,2.8
S05_017,84,119,one,top,0.31,no,79.4,0.88,15.11,45.34,37.28,1.39,,0.7,12,36,29.6,1.1
S05_017,119,140,one,gain,0.36,no,82.2,0.97,15.69,43.19,37.96,2.19,,0.8,12.9,35.5,31.2,1.8
S05_017,140,165,one,gain,0.10,no,81.4,2.21,16.71,40.54,37.47,3.07,,1.8,13.6,33,30.5,2.5
S05_023,0,8,one,loss,0,no,97.2,0.10,11.01,62.86,25.72,0.31,,0.1,10.7,61.1,25,0.3
S05_023,8,46,one,loss,0.33,no,98.9,0.10,11.12,62.59,25.68,0.51,,0.1,11,61.9,25.4,0.5
S05_023,46,71,one,loss,0.20,no,98.6,0.10,12.27,59.43,27.79,0.41,,0.1,12.1,58.6,27.4,0.4
S05_023,71,109,one,loss,0.25,no,97.9,0.10,12.97,59.55,26.97,0.41,,0.1,12.7,58.3,26.4,0.4
S05_023,109,140,one,loss,0.11,no,98.1,0.10,15.39,58.92,24.16,0.41,,0.1,15.1,57.8,23.7,0.4
S05_023,140,150,one,loss,0.20,no,98.2,2.65,32.08,52.44,12.42,0.41,,2.6,31.5,51.5,12.2,0.4
S05_023,150,203,one,top,5.47,yes,89.5,10.61,37.54,37.21,13.18,1.45,,9.5,33.6,33.3,11.8,1.3
S05_025,0,15,one,loss,0,no,93.8,0.53,13.97,34.97,47.55,2.99,,0.5,13.1,32.8,44.6,2.8
S05_025,15,41,one,loss,0.20,no,95.7,0.63,15.57,35.21,45.77,2.82,,0.6,14.9,33.7,43.8,2.7
S05_025,41,56,one,loss,0.37,no,95,0.63,13.05,32.00,50.74,3.58,,0.6,12.4,30.4,48.2,3.4
S05_025,56,71,one,top,0.25,no,91.9,0.54,12.62,31.99,51.69,3.16,,0.5,11.6,29.4,47.5,2.9
S05_028,0,13,one,loss,0,no,88.4,0.11,0.34,1.36,75.90,22.29,,0.1,0.3,1.2,67.1,19.7
S05_028,13,38,one,loss,0.17,no,93.9,0.11,0.43,0.96,76.57,21.94,,0.1,0.4,0.9,71.9,20.6
S05_028,38,46,one,top,0.66,no,71.8,0.42,0.56,0.97,68.66,29.39,,0.3,0.4,0.7,49.3,21.1
S05_028,46,64,one,gain,0.02,no,70.2,2.85,3.56,3.13,63.53,26.92,,2,2.5,2.2,44.6,18.9
S05_028,64,79,one,gain,0.08,no,76.4,9.69,10.34,7.85,48.82,23.30,,7.4,7.9,6,37.3,17.8
S05_041,0,5,one,loss,0,no,89.2,0.22,3.03,23.77,69.62,3.36,,0.2,2.7,21.2,62.1,3
S05_041,5,18,one,loss,0.53,no,95.6,0.31,5.44,27.20,64.33,2.72,,0.3,5.2,26,61.5,2.6
S05_041,18,46,one,loss,0.03,no,94.9,0.53,6.01,26.66,63.86,2.95,,0.5,5.7,25.3,60.6,2.8
S05_041,46,89,one,loss,0.21,no,94.9,0.74,6.32,24.66,65.33,2.95,,0.7,6,23.4,62,2.8
S05_041,89,114,one,loss,0.08,no,93.8,0.85,6.72,24.31,65.03,3.09,,0.8,6.3,22.8,61,2.9
S05_041,114,147,one,top,0.19,no,83,1.20,7.95,25.30,63.25,2.29,,1,6.6,21,52.5,1.9
